path,width,height,sha256,usage,notes
images/runtime-ready/ui/panels/panel_medium_512x256.png,512,256,155addcb84f663f652a6ba810b0c75049c889b336aa644cfeefb9ce5ce9a1c12,UI panel/frame,9-slice recommended
images/runtime-ready/ui/panels/panel_small_256x128.png,256,128,c228fc0a8a6bc7495bb6e7786be079fbb8d6e6ede720220687ad2ed9f481b78a,UI panel/frame,9-slice recommended
images/runtime-ready/ui/panels/server_selector_panel_768x128.png,768,128,67afb6755bdece9fab561f88b07b2b5b994fbd6ec4a5dd25fc75d45d672675fc,UI panel/frame,9-slice recommended
images/runtime-ready/ui/status/server_busy_64x64.png,64,64,3714b1f14c28cdf42b824e1040a9d98e17969c73ca26392d3c00c1d7c7df8929,Server status dot,
images/runtime-ready/ui/status/server_full_64x64.png,64,64,cd0a5d01ed25b67dfc52b5bca88ba2463009191f825eec0e878c1b4562a246ab,Server status dot,
images/runtime-ready/ui/status/server_maintenance_64x64.png,64,64,d18dcf03a1366fdf817ff983779b17b04df2361d59509358cc657e57dd7ba673,Server status dot,
images/runtime-ready/ui/status/server_online_64x64.png,64,64,3baa950a6eb7f1e40c1ef05b5002f4c816768c54b3048c5d800899173b613aa1,Server status dot,
images/runtime-ready/vfx/impact/impact_spark_512x512.png,512,512,f541b6d2482092d05388359e791a6d0bb687f7eecdce49db7827a8e35e107054,Impact spark VFX,
images/runtime-ready/vfx/spirit/selection_ring_blue_256x256.png,256,256,0450189140cdabd8407404974e3aaf06c6493eaf79f567ad2fbd4a9b4eb71a6e,Selection ring blue,
images/runtime-ready/vfx/spirit/selection_ring_gold_256x256.png,256,256,b40d6531095ff7ea0b8c51465b420a09d0ab5cf2bcedeb2995e337b22e59ea0d,Selection ring gold,
images/runtime-ready/vfx/spirit/spirit_orb_256x256.png,256,256,7c893a370418998c49e7dd8f271e5dfb8d5a9bdd4161398c34e28b5eaac3afab,Spirit orb VFX,
images/runtime-ready/vfx/wind-slash/wind_slash_frame_01_512x512.png,512,512,d8f676b6e7045005224b0272d879b050cd298568abda2f7dfec45bd43976289b,Wind Slash VFX frame,
images/runtime-ready/vfx/wind-slash/wind_slash_frame_02_512x512.png,512,512,a0ed56eb454057d5eedb86db0297b8ee9154c7c4ee0dafeff7ccc85f1222dacc,Wind Slash VFX frame,
images/runtime-ready/vfx/wind-slash/wind_slash_frame_03_512x512.png,512,512,7d8c3e6682e69cf2a32ee0545349267aec8f83eea7a09eaffea1765cdfda1de3,Wind Slash VFX frame,
images/runtime-ready/vfx/wind-slash/wind_slash_frame_04_512x512.png,512,512,7bcd0e09e72a4267b202fcbb2f09ffc7147fe3a77aaa637f57d8aaf4c68416d3,Wind Slash VFX frame,
images/runtime-ready/world/characters/player_female_cultivator_512x768.png,512,768,f7df1c881b0ff66a0daf0f06c8ae76298e50319e493431defb0f0322c91c679d,Player visual placeholder,
